#,release_id,api_id,status,version,product_code,tpl_code,api_code,api_name,cache_enable,cache_type,cache_unit,cache_time,out_protocol,out_domain,out_path,match_sub_patch,is_forward,connect_timeout,response_timeout,proxy_url,remark,creator,create_time,updater,update_time
1,"",20221102000000013000,0,1,fdsf879,test_code1,Test_code_001,Test,1,1,"",0,http,xiaohua.com,/edit,0,1,0,0,https://www.google.com,"",陈昌伟,2022-11-02 16:12:11,"",2024-05-16 18:54:18
2,20221102000000001001,20221102000000013000,0,2,fdsf879,test_code1,Test_code_001,Test,1,1,s,100,http,xiaohua.com,/edit,0,1,0,0,https://www.google.com,1111123123,陈昌伟,2022-11-02 16:12:11,陈昌伟,2022-11-02 19:43:41
3,20221103000000002000,20221103000000014000,0,1,V-11,A13123,metis_push_message,消息中心-发送push,1,0,d,1,https,test5.xiaohuaai.com,/metis-api/push/pushMessage,0,1,5000,15000,https://test.xiaohuaai.com,"",陈浪,2022-11-03 10:51:19,李威,2022-11-03 10:56:43
4,20221103000000002001,20221103000000014000,0,2,V-11,A13123,metis_push_message,消息中心-发送push,1,0,d,1,https,test5.xiaohuaai.com,/metis-api/push/pushMessage,0,1,5000,15000,https://test.xiaohuaai.com,"",邓丽,2022-11-03 10:51:19,李威,2022-11-03 11:17:10
5,20221103000000002002,20221103000000014000,0,3,V-11,A13123,metis_push_message,消息中心-发送push,1,0,d,1,https,test5.xiaohuaai.com,/metis-api/push/pushMessage,0,1,5000,15000,https://test.xiaohuaai.com,"",李威,2022-11-03 10:51:19,"",2022-11-03 15:54:50
6,20221103000000003000,20221103000000015000,0,1,fdsf879,testDb,api_test,测试API,1,0,s,99,http,www.baidu.com,/,0,1,10,999,https://3rd-proxy2.xhqb.com,test,陈昌伟,2022-11-03 14:38:32,邓丽,2022-11-03 16:19:22
7,20221103000000003001,20221101000000012000,0,1,V-11,test_code1,Test_100133111,API,0,1,"",0,http,xiaohua.com3123123/,/add11,0,0,0,0,https://www.google.com,2222111,陈昌伟,2022-11-01 11:12:18,"",2022-11-08 18:36:05
8,20221103000000003002,20221103000000014000,0,4,V-11,A13123,metis_push_message,消息中心-发送push,1,0,d,1,https,test5.xiaohuaai.com,/metis-api/push/pushMessage,0,1,5000,15000,https://3rd-proxy2.xhqb.com,"",李威,2022-11-03 10:51:19,李威,2022-11-03 15:55:01
9,20221103000000003003,20221103000000014000,0,5,V-11,A13123,metis_push_message,消息中心-发送push,1,0,d,1,https,test5.xiaohuaai.com,/metis-api/push/pushMessage,0,1,5000,15000,https://3rd-proxy2.xhqb.com,"",李威,2022-11-03 10:51:19,李威,2022-11-03 15:55:07
10,20221103000000003004,20221103000000014000,0,6,V-11,A13123,metis_push_message,消息中心-发送push,1,0,d,1,https,test5.xiaohuaai.com,/metis-api/push/pushMessage,0,1,5000,15000,https://3rd-proxy2.xhqb.com,"",李威,2022-11-03 10:51:19,陈昌伟,2022-11-03 16:02:49
